breadth,exit_buffer,sl,tp,max_pos,leverage,bgap,max_hold_days,final,trades,mwr,pf,sharpe,mdd,win_rate,score,return_pct
0.5,0.98,5.0,40.0,5,2.0,0.1,30,577528.0371399998,565,0.2459016393442623,0.9258391313159993,-0.27714207055360646,67.83227337773629,0.5293072824156305,-9994.37,-42.24719628600002
0.6,0.975,3.0,40.0,5,1.5,0.1,30,285218.7277400003,565,0.18032786885245902,0.6618249881099186,-1.4141649172734507,72.25358747591882,0.49644128113879005,-9994.38,-71.47812722599997
0.6,0.975,5.0,40.0,5,2.0,0.12,30,792466.2678199989,565,0.22950819672131148,0.9434758145906734,0.03272424315261207,59.07345666510457,0.5444839857651246,-9994.38,-20.753373218000114
0.5,0.98,3.0,40.0,5,1.5,0.1,30,1010731.9256399986,564,0.2786885245901639,1.0050960795555686,0.11433140886856898,36.9737423248028,0.5604982206405694,-9994.38,1.0731925639998696
0.5,0.975,3.0,40.0,5,1.5,0.1,30,890040.7798999993,562,0.2786885245901639,0.9781610421731349,0.010624408948781545,43.26402048212535,0.5589285714285714,-9994.4,-10.99592201000007
0.6,0.98,3.0,40.0,5,1.5,0.1,30,355634.9054800008,563,0.18032786885245902,0.6954453137967919,-0.9152668371797278,71.9789653167893,0.5089285714285714,-9994.4,-64.43650945199992
0.5,0.975,5.0,40.0,5,1.5,0.1,30,774995.9223599993,562,0.2459016393442623,0.9439187664931673,-0.12305189350349126,42.641409418732856,0.5482142857142858,-9994.4,-22.500407764000073
0.6,0.975,5.0,40.0,5,1.5,0.12,30,302309.1523999993,562,0.19672131147540983,0.6446965978900091,-0.9081195944067427,74.3592249132494,0.49731663685152055,-9994.41,-69.76908476000007
0.5,0.975,5.0,40.0,5,2.0,0.1,30,581670.4055600001,561,0.22950819672131148,0.9307512771754962,-0.2238525195983626,67.60844582074165,0.5295169946332737,-9994.41,-41.832959444
0.5,0.975,5.0,40.0,5,1.0,0.12,30,1113135.28406,561,0.32786885245901637,1.040778098158596,0.2095360726610439,24.41292465714247,0.5617173524150268,-9994.41,11.313528405999996
0.5,0.975,3.0,40.0,5,2.0,0.1,30,741859.4730999985,560,0.2786885245901639,0.9542768304441868,-0.018268139760723515,59.6894201496596,0.5565529622980251,-9994.43,-25.814052690000146
0.5,0.98,5.0,40.0,5,1.5,0.12,30,671739.4488600007,556,0.22950819672131148,0.9080044994588022,-0.20605407612389023,54.45141840815735,0.5306859205776173,-9994.46,-32.82605511399993
0.6,0.98,5.0,40.0,5,2.0,0.1,30,346566.6271600012,555,0.18032786885245902,0.7878082282794133,-0.4875153073706581,74.61825998686503,0.5072463768115942,-9994.48,-65.34333728399989
0.6,0.975,3.0,40.0,5,1.5,0.12,30,298426.40223999944,555,0.16393442622950818,0.6573085497939749,-1.1529834901360314,74.38405625458383,0.5090579710144928,-9994.48,-70.15735977600006
0.5,0.98,5.0,40.0,5,1.5,0.1,30,701239.5204600012,554,0.22950819672131148,0.9151685867189852,-0.21029978620603562,49.22442612148092,0.5181159420289855,-9994.48,-29.876047953999883
0.6,0.98,3.0,40.0,5,2.0,0.12,30,551766.6471000003,553,0.26229508196721313,0.873116848049965,-0.286349534752488,56.12836270449729,0.5245009074410163,-9994.49,-44.82333528999997
0.5,0.98,5.0,40.0,5,2.0,0.12,30,1058139.1525600008,552,0.29508196721311475,1.0102914586222553,0.1723016201440602,50.600193284212466,0.5482695810564663,-9994.51,5.8139152560000795
0.5,0.975,3.0,40.0,5,1.5,0.12,30,858440.9233399997,551,0.2786885245901639,0.9685808395966412,-0.07067888014527943,38.04039455841813,0.5565693430656934,-9994.52,-14.155907666000022
0.6,0.975,5.0,40.0,5,2.0,0.1,30,413862.5236400001,548,0.21311475409836064,0.8272206752630422,-0.33524267527065016,70.00828246924418,0.5201465201465202,-9994.54,-58.61374763599999
0.6,0.98,5.0,40.0,5,2.0,0.12,30,565615.7457400007,548,0.22950819672131148,0.8720446427957649,-0.2397940974753214,57.58567375398669,0.5256410256410257,-9994.54,-43.438425425999924
0.5,0.98,3.0,40.0,5,1.5,0.12,30,769472.7670399987,546,0.2786885245901639,0.949219551907904,-0.13386790588769223,50.97680692974208,0.5422794117647058,-9994.56,-23.05272329600013
0.5,0.98,3.0,40.0,5,2.0,0.1,30,685072.6095600006,545,0.26229508196721313,0.9406534834999063,-0.06502771991919663,62.44766612862315,0.5479704797047971,-9994.58,-31.49273904399994
0.5,0.98,3.0,40.0,5,2.0,0.12,30,525194.1081400022,536,0.2459016393442623,0.9037166749049341,-0.31462157179690176,63.9537380590231,0.5318352059925093,-9994.66,-47.480589185999776
0.5,0.975,3.0,40.0,5,2.0,0.12,30,805671.6789199999,535,0.2786885245901639,0.9602932852492455,0.051618885383537455,62.88957100149535,0.5357142857142857,-9994.68,-19.43283210800001
0.5,0.975,5.0,40.0,5,2.0,0.12,30,793916.8063800007,526,0.2459016393442623,0.9592236251876716,0.04566074402325717,70.07964397403343,0.5391969407265774,-9994.77,-20.60831936199994
0.6,0.98,3.0,40.0,3,1.0,0.1,30,719044.2245799991,407,0.2459016393442623,0.9027547854769884,-0.25477919243155794,32.23585313152931,0.5135135135135135,-9995.93,-28.095577542000093
0.6,0.975,5.0,40.0,3,1.5,0.12,30,953470.0103799968,407,0.2459016393442623,0.9921137673475819,0.0987641170742047,46.82668689822705,0.5234567901234568,-9995.95,-4.65299896200031
0.6,0.98,5.0,40.0,3,1.0,0.1,30,962029.0823999993,404,0.26229508196721313,0.9869961777026451,0.05943577864092598,23.919894242105634,0.5297029702970297,-9995.96,-3.797091760000071
0.6,0.975,3.0,40.0,3,1.0,0.1,30,487435.56295999826,403,0.19672131147540983,0.7758941971407614,-0.5524853474686124,58.40858962723981,0.5497512437810945,-9995.98,-51.256443704000176
0.6,0.98,3.0,40.0,3,1.0,0.12,30,661555.2960799992,402,0.26229508196721313,0.8703191269217765,-0.3728757070260412,41.76344854555777,0.5286783042394015,-9995.99,-33.84447039200008
0.6,0.975,5.0,40.0,3,1.0,0.1,30,974694.3381999992,400,0.2786885245901639,0.9915579998950756,0.06794699198622459,22.64153065096109,0.525,-9996.0,-2.5305661800000823
0.6,0.98,5.0,40.0,3,2.0,0.1,30,655394.4531399996,399,0.18032786885245902,0.9321571491864161,-0.044332698975511016,45.2826995902458,0.5088161209068011,-9996.03,-34.46055468600003
0.6,0.98,5.0,40.0,3,1.5,0.12,30,594438.1900599983,398,0.18032786885245902,0.9058354708161898,-0.20379893622201395,45.90975796244384,0.51010101010101,-9996.04,-40.556180994000165
0.6,0.98,3.0,40.0,3,2.0,0.1,30,616260.4472799993,397,0.18032786885245902,0.9151044178094965,-0.1035826054922685,49.11067056962327,0.5164556962025316,-9996.05,-38.373955272000075
0.6,0.98,5.0,40.0,3,1.0,0.12,30,940266.7807999986,397,0.26229508196721313,0.9814729283683994,0.05131059679015736,38.59629987722023,0.549367088607595,-9996.05,-5.97332192000014
0.6,0.98,5.0,40.0,3,1.5,0.1,30,968346.5739199964,397,0.22950819672131148,0.9961441648563869,0.10881601571961806,35.99871650343043,0.5367088607594936,-9996.05,-3.1653426080003655
0.6,0.975,5.0,40.0,3,1.0,0.12,30,686094.0348199981,395,0.26229508196721313,0.8837519417027697,-0.3010297767541368,39.594333214022775,0.5304568527918782,-9996.06,-31.39059651800019
0.6,0.975,3.0,40.0,3,1.0,0.12,30,438811.9735599982,395,0.21311475409836064,0.7675696885887124,-0.7726319883258597,56.98353285538995,0.5050761421319797,-9996.06,-56.118802644000176
0.6,0.975,3.0,40.0,3,1.5,0.12,30,488589.2093799984,392,0.18032786885245902,0.8747761799141558,-0.35522400403161114,54.80863015345297,0.5128205128205128,-9996.1,-51.14107906200016
0.6,0.98,3.0,40.0,3,1.5,0.1,30,805958.6175999979,391,0.21311475409836064,0.9582310675695734,-0.057237067554908656,33.17915835439722,0.519280205655527,-9996.11,-19.40413824000021
0.6,0.975,3.0,40.0,3,1.5,0.1,30,549603.5838799989,390,0.16393442622950818,0.8884246011123328,-0.2970006800139551,53.58589136123308,0.520618556701031,-9996.12,-45.03964161200011
0.6,0.975,5.0,40.0,3,2.0,0.12,30,513629.4290599973,390,0.18032786885245902,0.9210262661850231,-0.14068111031553665,62.57080740763783,0.5051546391752577,-9996.12,-48.63705709400027
0.6,0.98,3.0,40.0,3,1.5,0.12,30,428793.49951999774,388,0.14754098360655737,0.8607699522561112,-0.4215011019062224,60.454012811263105,0.5038759689922481,-9996.13,-57.12065004800022
0.6,0.98,5.0,40.0,3,2.0,0.12,30,404536.78015999787,389,0.18032786885245902,0.8670909435355701,-0.21340527715381752,59.81685398585193,0.5012919896640827,-9996.13,-59.54632198400021
0.5,0.98,5.0,40.0,3,1.5,0.12,30,919749.1723799999,389,0.26229508196721313,0.9855803020439373,0.07660304879193244,41.8013538992619,0.5503875968992248,-9996.13,-8.025082762000013
0.5,0.98,3.0,40.0,3,1.0,0.1,30,698004.8972399996,384,0.26229508196721313,0.9077200541391758,-0.22164412825671195,39.78093939212987,0.5195822454308094,-9996.17,-30.19951027600004
0.6,0.98,3.0,40.0,3,2.0,0.12,30,330672.3626599974,383,0.16393442622950818,0.8402265984712188,-0.38993238492839777,67.15389926632952,0.5052356020942408,-9996.18,-66.93276373400026
0.6,0.975,3.0,40.0,3,2.0,0.1,30,700612.8802799995,383,0.19672131147540983,0.9522676765483912,-0.029647601633057696,53.54554663863205,0.5013123359580053,-9996.19,-29.938711972000053
0.5,0.98,3.0,40.0,3,2.0,0.1,30,835931.4098799981,383,0.21311475409836064,0.9814747943892724,0.1177234132470805,51.36949131927305,0.5669291338582677,-9996.19,-16.406859012000197
0.5,0.975,3.0,40.0,3,1.5,0.12,30,541101.4757799996,382,0.19672131147540983,0.9001730792045157,-0.252563833500727,52.02561610887444,0.5368421052631579,-9996.2,-45.88985242200003
0.5,0.98,5.0,40.0,3,2.0,0.1,30,1148083.906640003,380,0.2786885245901639,1.0200718834234728,0.26230225605746516,48.15249437248077,0.5793650793650794,-9996.22,14.808390664000303
0.5,0.975,5.0,40.0,3,1.0,0.12,30,732777.6228199983,380,0.19672131147540983,0.9200175072308253,-0.2208782256046727,46.64552325592676,0.5423280423280423,-9996.22,-26.722237718000173
0.5,0.975,5.0,40.0,3,1.5,0.1,30,874874.3159999987,380,0.21311475409836064,0.9809616705885735,0.043539936524795785,42.73401238146405,0.5423280423280423,-9996.22,-12.512568400000124
0.5,0.975,3.0,40.0,3,1.0,0.12,30,739037.2181600003,378,0.2786885245901639,0.9300697701262334,-0.19922048942650586,44.29363985101724,0.526595744680851,-9996.24,-26.096278183999978
0.6,0.975,3.0,40.0,3,2.0,0.12,30,413963.20725999656,378,0.14754098360655737,0.9033500760712403,-0.19372092507939387,69.83368215671993,0.5053191489361702,-9996.24,-58.60367927400034
0.6,0.975,5.0,40.0,3,1.5,0.1,30,1089618.5859799988,378,0.21311475409836064,1.0241411999666623,0.19905297503959782,40.83558376330206,0.526595744680851,-9996.24,8.961858597999871
0.5,0.98,5.0,40.0,3,1.5,0.1,30,1247078.971259999,374,0.2459016393442623,1.0410364051708043,0.28441608414908226,35.1908750536148,0.5403225806451613,-9996.28,24.7078971259999
0.5,0.98,3.0,40.0,3,1.5,0.1,30,484053.5902599988,373,0.22950819672131148,0.8823192067945697,-0.33492913681943765,56.63594647647948,0.5403225806451613,-9996.28,-51.59464097400013
0.6,0.975,5.0,40.0,3,2.0,0.1,30,661859.162479999,374,0.18032786885245902,0.9454430346304192,-0.03679322792970152,56.49795494224429,0.5053763440860215,-9996.28,-33.8140837520001
0.5,0.975,3.0,40.0,3,1.5,0.1,30,1089867.563199999,373,0.22950819672131148,1.0153202077969747,0.20932540717486534,47.086916889815626,0.5202156334231806,-9996.29,8.9867563199999
0.5,0.975,3.0,40.0,3,2.0,0.1,30,869584.3989399988,372,0.19672131147540983,0.9852466616098736,0.12751156861410737,46.499644930482454,0.5378378378378378,-9996.3,-13.041560106000116
0.5,0.975,5.0,40.0,3,1.5,0.12,30,864469.6368200002,371,0.19672131147540983,0.9795596050644559,0.05739779181592277,46.421784129904296,0.5203252032520326,-9996.31,-13.553036317999979
0.5,0.98,3.0,40.0,3,1.0,0.12,30,672884.9540399984,369,0.26229508196721313,0.8973820137660291,-0.27383280496042717,44.34804200038497,0.532608695652174,-9996.32,-32.71150459600016
0.5,0.98,3.0,40.0,3,2.0,0.12,30,398197.4723599998,370,0.22950819672131148,0.895263046787187,-0.2711242542602805,66.78113429436603,0.5434782608695652,-9996.32,-60.180252764000016
0.5,0.98,3.0,40.0,3,1.5,0.12,30,800631.98502,370,0.21311475409836064,0.9605039177361367,0.016137373424024066,40.12928875115442,0.529891304347826,-9996.32,-19.936801498
0.5,0.98,5.0,40.0,3,2.0,0.12,30,641115.8077599993,369,0.22950819672131148,0.933411565768007,-0.06610911271947502,64.89965906676738,0.5449591280653951,-9996.33,-35.88841922400007
0.5,0.975,5.0,40.0,3,1.0,0.1,30,753977.8488399996,369,0.2459016393442623,0.9335144009950337,-0.16486040199361998,45.503556508955015,0.5149863760217984,-9996.33,-24.602215116000036
0.5,0.98,5.0,40.0,3,1.0,0.1,30,740341.9736399992,369,0.2459016393442623,0.9285684788074291,-0.17709929291684134,43.44159886971581,0.5286103542234333,-9996.33,-25.965802636000078
0.5,0.975,3.0,40.0,3,1.0,0.1,30,634068.1061400003,366,0.2786885245901639,0.8812101181601651,-0.3942006844713723,44.596086277888716,0.5192307692307693,-9996.36,-36.59318938599997
0.5,0.98,5.0,40.0,3,1.0,0.12,30,721382.852600001,365,0.22950819672131148,0.9204603585424502,-0.20682379121529745,52.19186270309053,0.5302197802197802,-9996.36,-27.861714739999897
0.5,0.975,5.0,40.0,3,2.0,0.1,30,1147506.9242000016,364,0.2459016393442623,1.0191223625050783,0.2657766501067337,50.333560039655346,0.5497237569060773,-9996.38,14.750692420000156
0.5,0.975,5.0,40.0,3,2.0,0.12,30,717183.4002800005,364,0.22950819672131148,0.9683846890475187,0.026497239670037417,67.04551278648081,0.5303867403314917,-9996.38,-28.28165997199995
0.5,0.975,3.0,40.0,3,2.0,0.12,30,509962.912019999,361,0.16393442622950818,0.9312286775526804,-0.126097075050695,67.30610947979328,0.5125348189415042,-9996.41,-49.0037087980001
